"","A","B","C","D","E"
"3795","a","a","a","a","a"
"3796","c","c","a","c","b"
"3797","b","a","a","a","a"
"3798","c","c","a","c","c"
"3799","c","c","a","c","c"
"3800","a","a","a","b","a"
"3801","a","a","a","a","a"
"3802","a","a","a","a","b"
"3803","b","a","a","c","a"
"3804","c","c","a","c","c"
"3805","b","c","a","b","c"
"3806","b","a","a","b","a"
"3807","a","c","a","a","b"
"3808","b","a","b","a","a"
"3809","c","c","a","c","c"
"3810","c","c","b","b","c"
"3811","b","b","a","b","c"
"3812","b","a","a","b","a"
"3813","a","a","a","a","c"
"3814","a","a","a","a","c"
"3815","a","c","a","b","b"
"3816","b","c","a","b","a"
"3817","b","c","a","a","b"
"3818","a","a","a","a","b"
"3819","b","c","a","c","b"
"3820","b","c","a","b","a"
"3821","c","a","a","c","c"
"3822","c","c","a","c","a"
"3823","b","c","a","b","b"
"3824","c","c","a","a","a"
"3825","c","c","a","c","b"
"3826","b","b","b","a","b"
"3827","c","c","a","c","b"
"3828","b","c","a","c","c"
"3829","c","c","b","c","a"
"3830","a","a","a","a","b"
"3831","c","c","a","c","c"
"3832","c","c","c","b","c"
"3833","b","b","a","c","c"
"3834","a","a","b","c","b"
"3835","b","c","a","b","c"
"3836","c","c","a","c","c"
"3837","c","c","b","c","c"
"3838","b","c","b","a","c"
"3839","a","c","a","a","c"
"3840","a","a","a","a","a"
"3841","b","b","a","c","c"
"3842","b","c","c","a","c"
"3843","a","a","a","a","b"
"3844","a","a","a","a","a"
"3845","b","b","b","a","b"
"3846","a","c","a","a","c"
"3847","b","b","a","b","c"
"3848","b","a","a","a","b"
"3849","b","c","a","c","c"
"3850","c","c","a","c","c"
"3851","c","c","a","c","a"
"3852","b","a","a","b","b"
"3853","a","b","a","a","c"
"3854","a","a","a","a","a"
"3855","b","a","b","a","a"
"3856","c","c","a","c","b"
"3857","a","c","a","a","a"
"3858","c","c","a","a","c"
"3859","a","a","c","a","c"
"3860","a","a","a","a","a"
"3861","a","a","a","b","b"
"3862","a","a","a","a","a"
"3863","c","c","b","b","c"
"3864","c","c","a","a","c"
"3865","a","a","a","c","a"
"3866","a","a","b","c","b"
"3867","c","c","a","c","c"
"3868","c","c","a","c","c"
"3869","a","a","a","a","a"
"3870","a","a","a","a","c"
"3871","b","c","b","a","c"
"3872","a","a","a","a","b"
"3873","c","a","a","b","a"
"3874","c","c","b","a","c"
"3875","c","c","b","c","b"
"3876","b","c","a","c","c"
"3877","b","a","a","a","b"
"3878","a","c","a","a","b"
"3879","a","a","a","a","a"
"3880","b","c","a","b","c"
"3881","a","a","a","a","a"
"3882","a","a","a","c","a"
"3883","a","a","a","a","a"
"3884","a","a","a","a","a"
"3885","b","c","b","a","c"
"3886","c","c","a","c","b"
"3887","c","c","a","c","b"
"3888","b","c","a","b","b"
"3889","a","a","c","a","c"
"3890","c","c","b","c","c"
"3891","b","c","a","b","c"
"3892","c","b","a","c","c"
"3893","c","c","b","b","c"
"3894","c","c","b","a","b"
"3895","b","b","a","b","b"
"3896","a","a","a","a","a"
"3897","c","c","a","c","c"
"3898","b","c","a","c","b"
"3899","c","c","a","b","b"
"3900","b","a","a","a","c"
"3901","a","a","a","c","a"
"3902","a","a","a","c","a"
"3903","b","a","a","b","b"
"3904","a","a","a","a","b"
"3905","a","a","a","a","a"
"3906","b","c","b","a","a"
"3907","c","a","a","b","b"
"3908","c","c","a","c","a"
"3909","c","b","a","c","a"
"3910","b","b","c","b","c"
"3911","a","a","a","a","a"
"3912","c","c","a","c","c"
"3913","b","c","a","b","b"
"3914","a","a","b","a","b"
"3915","c","a","a","c","a"
"3916","a","a","a","a","b"
"3917","a","a","a","b","a"
"3918","a","a","a","a","a"
"3919","b","a","b","a","a"
"3920","c","a","b","a","a"
"3921","a","a","a","c","b"
"3922","c","b","a","c","b"
"3923","b","b","b","a","b"
"3924","c","c","a","c","b"
"3925","c","c","a","c","a"
"3926","c","a","c","a","b"
"3927","a","a","c","c","a"
"3928","c","c","a","c","a"
"3929","c","b","a","c","c"
"3930","b","c","a","b","c"
"3931","a","a","a","a","a"
"3932","b","b","a","b","a"
"3933","c","c","b","c","a"
"3934","a","a","a","a","a"
"3935","c","c","a","c","c"
"3936","b","a","a","b","a"
"3937","a","a","a","a","a"
"3938","c","c","a","c","b"
"3939","a","a","b","c","a"
"3940","c","b","b","b","c"
"3941","a","a","c","c","b"
"3942","c","c","a","c","c"
"3943","a","a","a","a","b"
"3944","c","a","a","c","a"
"3945","b","c","a","b","a"
"3946","c","c","a","c","b"
"3947","b","b","b","b","c"
"3948","a","a","b","c","a"
"3949","a","a","a","a","a"
"3950","c","b","a","b","c"
"3951","a","a","b","c","a"
"3952","c","c","a","c","a"
"3953","c","c","a","c","b"
"3954","c","c","a","c","c"
"3955","c","a","a","c","a"
"3956","c","c","a","c","c"
"3957","c","c","c","c","a"
"3958","c","c","a","c","c"
"3959","b","a","b","a","b"
"3960","c","c","a","c","a"
"3961","b","a","a","a","b"
"3962","b","c","a","b","c"
"3963","a","a","a","a","a"
"3964","a","a","a","b","a"
"3965","b","a","a","b","c"
"3966","c","c","c","b","c"
"3967","a","a","a","b","a"
"3968","b","c","a","b","c"
"3969","c","c","a","c","c"
"3970","c","c","a","c","c"
"3971","a","a","a","a","a"
"3972","b","a","b","a","b"
"3973","c","a","c","c","c"
"3974","b","b","a","a","a"
"3975","c","b","b","b","c"
"3976","b","b","a","b","a"
"3977","a","a","a","a","a"
"3978","a","a","a","c","a"
"3979","a","a","a","a","b"
"3980","c","c","a","c","b"
"3981","b","c","b","a","c"
"3982","b","c","a","b","b"
"3983","b","a","a","c","a"
"3984","b","c","a","b","b"
"3985","b","c","a","b","a"
"3986","c","c","a","c","c"
"3987","c","c","a","c","c"
"3988","a","c","a","b","b"
"3989","a","a","a","a","b"
"3990","c","a","a","c","a"
"3991","b","b","a","c","c"
"3992","c","c","a","c","a"
"3993","c","c","a","c","b"
"3994","a","c","b","a","b"
"3995","c","c","b","b","b"
"3996","c","c","a","c","c"
"3997","b","a","a","c","b"
"3998","c","b","a","c","a"
"3999","a","a","a","a","a"
"4000","a","c","b","a","a"
"4001","b","a","a","b","b"
"4002","c","c","a","b","c"
"4003","c","c","a","c","c"
"4004","a","a","c","b","b"
"4005","a","a","a","a","a"
"4006","b","c","b","c","c"
"4007","a","a","a","a","a"
"4008","a","a","a","a","b"
"4009","a","a","a","a","a"
"4010","a","b","a","a","b"
"4011","b","b","b","a","c"
"4012","a","a","a","a","b"
"4013","b","b","b","a","a"
"4014","c","c","a","c","a"
"4015","c","c","a","b","a"
"4016","b","b","b","a","a"
"4017","c","c","a","c","b"
"4018","c","c","a","b","c"
"4019","a","a","a","b","a"
"4020","b","c","c","a","c"
"4021","a","a","b","c","b"
"4022","c","c","a","c","a"
"4023","b","c","a","b","b"
"4024","b","c","a","b","c"
"4025","a","a","a","a","a"
"4026","b","c","a","b","b"
"4027","b","a","a","a","a"
"4028","b","a","b","a","a"
"4029","b","a","b","a","a"
"4030","c","c","a","c","b"
"4031","c","c","a","b","b"
"4032","a","a","b","a","b"
"4033","c","c","a","c","c"
"4034","b","c","a","b","a"
"4035","c","c","a","c","c"
"4036","c","c","a","c","c"
"4037","c","c","a","c","c"
"4038","c","b","a","c","a"
"4039","b","c","a","b","b"
"4040","c","a","a","c","a"
"4041","a","a","a","a","a"
"4042","a","a","b","a","b"
"4043","a","a","a","a","a"
"4044","a","a","a","c","a"
"4045","a","a","a","a","a"
"4046","c","c","a","c","b"
"4047","b","a","b","a","b"
"4048","c","b","a","c","c"
"4049","c","c","c","c","b"
"4050","c","a","a","b","a"
"4051","a","a","a","c","c"
"4052","c","c","b","b","c"
"4053","c","b","a","b","a"
"4054","a","a","a","a","b"
"4055","b","b","a","b","a"
"4056","b","a","b","c","a"
"4057","a","a","b","b","a"
"4058","c","a","a","c","a"
"4059","c","c","a","a","c"
"4060","c","c","b","b","b"
"4061","a","a","c","c","c"
"4062","a","a","c","c","b"
"4063","a","a","a","b","b"
"4064","b","a","a","b","c"
"4065","b","a","a","c","a"
"4066","c","c","a","c","c"
"4067","c","c","a","c","c"
"4068","b","a","a","b","a"
"4069","a","a","a","a","a"
"4070","c","b","a","c","c"
"4071","c","c","a","c","a"
"4072","a","a","a","a","a"
"4073","a","a","a","a","a"
"4074","c","a","a","b","b"
"4075","a","a","a","b","a"
"4076","a","a","a","a","c"
"4077","a","a","a","a","b"
"4078","a","a","a","a","b"
"4079","b","a","b","a","a"
"4080","a","c","a","c","c"
"4081","a","a","a","a","a"
"4082","a","a","b","b","b"
"4083","b","a","a","b","a"
"4084","a","a","a","c","a"
"4085","b","c","a","b","a"
"4086","c","c","a","c","c"
"4087","c","c","b","b","c"
"4088","c","a","a","a","c"
"4089","c","c","a","b","c"
"4090","a","a","b","a","c"
"4091","a","b","a","a","c"
"4092","a","a","a","a","b"
"4093","b","a","a","b","a"
"4094","c","c","b","b","a"
"4095","b","b","a","c","c"
"4096","a","a","c","a","a"
"4097","b","a","a","b","b"
"4098","c","c","a","c","b"
"4099","c","c","a","c","c"
"4100","a","a","a","a","a"
"4101","b","c","a","b","b"
"4102","b","c","a","c","a"
"4103","c","c","a","c","b"
"4104","b","a","a","b","a"
"4105","b","a","a","b","a"
"4106","c","c","a","c","c"
"4107","c","c","b","a","c"
"4108","b","a","a","b","a"
"4109","b","c","a","b","c"
"4110","c","c","b","b","c"
"4111","a","c","c","c","a"
"4112","c","c","c","b","a"
"4113","c","c","a","c","c"
"4114","c","b","a","a","c"
"4115","c","c","a","c","c"
"4116","c","c","a","c","c"
"4117","a","a","a","a","a"
"4118","a","a","a","a","a"
"4119","a","a","a","a","a"
"4120","c","c","a","c","c"
"4121","a","c","a","a","b"
"4122","a","a","b","b","b"
"4123","a","a","a","b","a"
"4124","c","c","a","b","c"
"4125","b","c","a","a","c"
"4126","c","a","a","c","a"
"4127","b","a","a","b","b"
"4128","a","c","a","a","b"
"4129","b","c","a","b","b"
"4130","a","a","a","a","b"
"4131","b","b","a","b","c"
"4132","b","a","a","b","b"
"4133","a","a","a","a","a"
"4134","b","b","a","a","c"
"4135","c","c","a","c","c"
"4136","a","a","a","a","c"
"4137","a","a","a","c","a"
"4138","b","a","a","b","b"
"4139","b","b","b","a","a"
"4140","c","b","a","c","a"
"4141","b","c","a","c","c"
"4142","a","a","a","a","a"
"4143","b","a","b","a","a"
"4144","a","a","a","c","b"
"4145","b","b","a","b","a"
"4146","a","a","a","b","a"
"4147","b","a","a","b","a"
"4148","b","c","a","b","c"
"4149","c","c","a","c","c"
"4150","a","b","a","a","c"
"4151","a","a","a","a","a"
"4152","a","c","a","a","a"
"4153","c","c","c","c","b"
"4154","c","c","b","c","a"
"4155","c","c","a","c","b"
"4156","c","c","a","c","a"
"4157","a","a","a","a","b"
"4158","c","c","a","a","b"
"4159","b","c","a","b","c"
"4160","b","b","b","a","c"
"4161","c","c","a","a","c"
"4162","b","a","a","a","b"
"4163","a","a","b","c","c"
"4164","b","b","a","b","c"
"4165","b","a","a","b","a"
"4166","a","a","a","a","a"
"4167","b","c","a","c","c"
"4168","b","c","b","a","c"
"4169","c","c","c","c","c"
"4170","b","a","a","b","a"
"4171","b","a","a","b","a"
"4172","b","b","b","a","b"
"4173","a","a","a","a","a"
"4174","a","c","b","b","c"
"4175","b","a","b","a","b"
"4176","a","c","a","a","c"
"4177","b","a","a","b","a"
"4178","a","a","a","a","b"
"4179","c","c","a","c","c"
"4180","b","c","b","a","a"
"4181","c","c","a","a","b"
"4182","a","a","a","a","b"
"4183","c","c","a","b","c"
"4184","a","a","b","b","a"
"4185","c","c","b","a","a"
"4186","b","a","a","b","c"
"4187","b","a","a","b","a"
"4188","b","c","a","b","c"
"4189","c","a","a","c","a"
"4190","c","c","a","c","b"
"4191","a","a","a","c","b"
"4192","c","c","a","c","a"
"4193","a","a","a","a","a"
"4194","b","a","a","b","b"
"4195","a","a","b","a","a"
"4196","a","c","a","b","b"
"4197","a","a","a","a","a"
"4198","a","a","a","a","a"
"4199","b","a","b","a","a"
"4200","c","b","a","c","b"
"4201","c","c","a","c","c"
"4202","b","a","a","b","a"
"4203","b","c","b","a","b"
"4204","a","c","a","a","a"
"4205","c","c","a","c","b"
"4206","a","a","a","c","b"
"4207","a","a","a","a","a"
"4208","a","a","b","c","a"
"4209","b","a","a","b","a"
"4210","b","c","a","b","b"
"4211","b","c","a","b","a"
"4212","c","b","a","c","b"
"4213","a","c","a","a","b"
"4214","c","c","c","c","b"
"4215","b","a","a","c","a"
"4216","c","c","b","c","c"
"4217","a","c","a","a","b"
"4218","a","b","b","c","c"
"4219","c","c","a","c","c"
"4220","a","a","a","b","a"
"4221","b","a","a","b","a"
"4222","b","c","a","b","c"
"4223","b","a","a","b","a"
"4224","b","a","b","a","c"
"4225","a","a","a","a","a"
"4226","a","a","b","c","a"
"4227","c","a","a","c","a"
"4228","a","c","b","c","c"
"4229","c","c","b","b","b"
"4230","b","a","a","b","b"
"4231","a","a","a","a","b"
"4232","c","c","a","c","c"
"4233","c","a","a","a","a"
"4234","a","a","b","a","a"
"4235","c","c","a","c","c"
"4236","c","c","a","c","b"
"4237","b","a","a","b","c"
"4238","c","c","a","c","c"
"4239","c","c","a","a","a"
"4240","a","b","a","c","b"
"4241","a","a","a","a","a"
"4242","c","c","a","c","a"
"4243","c","c","a","c","b"
"4244","b","c","a","b","a"
"4245","c","c","a","c","b"
"4246","a","c","b","b","c"
"4247","a","b","a","a","b"
"4248","c","c","a","b","c"
"4249","a","a","a","b","a"
"4250","b","c","a","b","c"
"4251","a","a","a","a","a"
"4252","a","c","a","a","c"
"4253","b","b","a","c","b"
"4254","c","c","a","c","c"
"4255","b","c","a","b","c"
"4256","a","a","b","c","b"
"4257","c","c","b","a","c"
"4258","a","a","a","a","a"
"4259","a","a","a","a","b"
"4260","c","c","b","c","c"
"4261","a","a","a","a","b"
"4262","b","a","a","c","a"
"4263","c","c","a","c","c"
"4264","b","a","a","b","a"
"4265","b","a","b","c","a"
"4266","c","c","a","c","c"
"4267","b","c","b","a","b"
"4268","c","c","b","b","c"
"4269","a","a","a","c","a"
"4270","c","c","a","b","b"
"4271","c","c","a","c","c"
"4272","c","b","b","c","a"
"4273","c","c","a","c","a"
"4274","a","a","a","b","b"
"4275","a","c","a","c","a"
"4276","b","a","a","b","c"
"4277","b","c","a","b","c"
"4278","a","a","a","c","a"
"4279","c","c","a","c","c"
"4280","b","a","a","b","a"
"4281","b","c","b","a","a"
"4282","c","c","a","c","a"
"4283","c","c","a","c","c"
"4284","c","c","a","c","b"
"4285","c","a","a","c","c"
"4286","c","c","b","a","c"
"4287","a","a","a","a","a"
"4288","c","c","a","a","b"
"4289","a","a","a","b","a"
"4290","b","c","a","b","a"
"4291","b","c","a","b","b"
"4292","b","b","b","a","c"
"4293","b","b","a","b","c"
"4294","b","a","b","a","a"
"4295","b","c","b","a","a"
"4296","a","a","a","b","a"
"4297","c","c","a","a","c"
"4298","b","b","a","b","c"
"4299","c","c","b","c","c"
"4300","c","a","b","a","b"
"4301","c","c","a","c","c"
"4302","b","a","a","b","b"
"4303","c","c","a","c","c"
"4304","a","a","a","a","a"
"4305","a","a","b","c","a"
"4306","c","a","a","c","a"
"4307","c","c","a","c","b"
"4308","b","a","a","b","b"
"4309","a","a","a","a","c"
"4310","a","a","a","a","a"
"4311","a","c","a","a","b"
"4312","a","a","a","a","a"
"4313","c","a","a","b","c"
"4314","c","c","a","c","b"
"4315","a","c","a","a","c"
"4316","c","c","a","b","b"
"4317","a","b","a","a","a"
"4318","b","a","a","b","b"
"4319","a","a","b","a","a"
"4320","c","c","a","a","b"
"4321","c","c","b","c","c"
"4322","c","b","a","c","c"
"4323","b","a","a","b","a"
"4324","c","b","a","c","b"
"4325","a","a","c","b","a"
"4326","c","c","b","c","b"
"4327","a","a","a","a","b"
"4328","c","c","b","c","c"
"4329","a","a","a","a","a"
"4330","b","a","a","b","a"
"4331","b","b","a","c","a"
"4332","b","c","a","c","b"
"4333","b","c","a","b","b"
"4334","c","c","a","c","c"
"4335","c","c","c","a","c"
"4336","a","a","a","a","a"
"4337","a","a","b","c","c"
"4338","a","a","b","c","a"
"4339","c","c","a","b","c"
"4340","c","c","b","a","b"
"4341","b","a","a","b","a"
"4342","a","b","b","c","c"
"4343","b","a","a","b","a"
"4344","a","a","b","c","a"
"4345","b","c","a","c","b"
"4346","b","a","a","b","c"
"4347","b","a","a","c","c"
"4348","a","a","a","a","b"
"4349","a","a","a","a","c"
"4350","a","a","a","a","a"
"4351","c","c","b","c","c"
"4352","b","b","a","b","b"
"4353","b","a","a","b","b"
"4354","c","c","a","c","a"
"4355","a","c","a","b","a"
"4356","c","c","a","c","b"
"4357","a","a","a","a","b"
"4358","c","c","a","c","c"
"4359","a","c","b","c","c"
"4360","b","c","a","b","b"
"4361","a","a","a","a","a"
"4362","a","a","a","a","a"
"4363","a","a","a","a","c"
"4364","a","a","a","a","b"
"4365","c","c","a","c","c"
"4366","c","c","a","c","b"
"4367","c","b","b","b","b"
"4368","a","a","a","c","a"
"4369","c","c","a","a","c"
"4370","a","a","a","a","a"
"4371","c","c","a","c","c"
"4372","a","a","a","c","a"
"4373","a","a","a","a","b"
"4374","c","c","a","b","c"
"4375","b","a","a","b","a"
"4376","c","b","a","c","c"
"4377","c","a","b","b","a"
"4378","b","a","b","a","a"
"4379","b","a","b","c","b"
"4380","c","c","a","c","c"
"4381","a","a","a","a","a"
"4382","b","c","a","c","a"
"4383","a","a","a","a","a"
"4384","b","a","a","a","a"
"4385","b","b","a","b","a"
"4386","a","a","b","a","a"
"4387","c","c","b","b","c"
"4388","b","b","a","b","a"
"4389","a","a","b","c","a"
"4390","c","c","a","c","c"
"4391","b","c","c","c","a"
"4392","b","a","a","c","a"
"4393","a","a","a","c","a"
"4394","c","c","a","c","c"
"4395","c","b","a","c","a"
"4396","a","c","a","a","b"
"4397","c","c","a","c","c"
"4398","c","c","c","a","c"
"4399","a","a","b","c","a"
"4400","b","a","a","b","a"
"4401","a","a","a","a","a"
"4402","c","c","a","c","c"
"4403","a","a","a","a","b"
"4404","a","a","a","a","a"
"4405","b","c","a","b","c"
"4406","b","c","a","b","a"
"4407","c","c","a","c","b"
"4408","b","a","a","b","a"
"4409","b","a","a","b","a"
"4410","b","b","a","b","c"
"4411","a","a","b","a","b"
"4412","c","c","b","a","b"
"4413","b","b","a","c","a"
"4414","b","a","b","a","b"
"4415","a","a","a","b","a"
"4416","a","a","a","c","a"
"4417","b","c","b","a","b"
"4418","a","a","a","a","a"
"4419","b","b","a","b","b"
"4420","b","a","a","b","a"
"4421","a","a","a","a","b"
"4422","b","b","a","b","a"
"4423","c","c","a","c","c"
"4424","b","a","b","a","b"
"4425","c","b","a","c","b"
"4426","a","b","a","a","c"
"4427","a","a","a","a","b"
"4428","c","c","a","c","c"
"4429","a","a","c","c","b"
"4430","a","c","b","c","a"
"4431","b","a","a","b","a"
"4432","a","a","a","a","b"
"4433","b","a","a","b","a"
"4434","a","c","a","a","c"
"4435","a","a","a","a","b"
"4436","c","c","a","a","a"
"4437","c","c","a","c","c"
"4438","b","a","a","b","b"
"4439","c","c","a","b","c"
"4440","b","a","a","a","a"
"4441","b","b","a","b","c"
"4442","c","c","a","c","a"
"4443","a","a","b","a","a"
"4444","c","a","b","c","a"
"4445","a","a","b","c","b"
"4446","b","a","c","b","b"
"4447","b","a","a","b","a"
"4448","b","b","a","c","b"
"4449","c","c","a","c","b"
"4450","c","c","a","b","c"
"4451","a","a","a","c","b"
"4452","a","a","a","a","a"
"4453","a","a","a","a","a"
"4454","b","a","a","b","a"
"4455","a","a","a","a","b"
"4456","c","c","a","c","c"
"4457","c","c","a","a","b"
"4458","c","c","a","a","c"
"4459","b","c","c","a","c"
"4460","c","c","a","c","c"
"4461","a","a","b","c","a"
"4462","c","c","a","c","c"
"4463","b","b","a","b","c"
"4464","c","c","a","c","b"
"4465","a","a","b","c","b"
"4466","a","a","a","a","b"
"4467","a","a","a","a","b"
"4468","c","c","a","c","c"
"4469","c","c","a","a","c"
"4470","a","a","a","b","a"
"4471","c","b","c","c","c"
"4472","b","c","b","a","c"
"4473","c","c","a","c","b"
"4474","c","c","a","c","c"
"4475","b","c","a","b","c"
"4476","a","a","a","a","a"
"4477","b","b","a","b","c"
"4478","b","a","a","c","a"
"4479","c","c","a","c","c"
"4480","a","a","a","a","a"
"4481","a","a","a","a","a"
"4482","b","a","a","b","a"
"4483","c","b","a","c","b"
"4484","c","c","a","c","c"
"4485","a","a","c","c","c"
"4486","c","c","a","c","c"
"4487","b","a","b","a","b"
"4488","a","a","b","c","b"
"4489","b","c","a","b","a"
"4490","a","a","a","a","a"
"4491","a","a","a","a","b"
"4492","c","c","b","b","b"
"4493","a","a","b","c","a"
"4494","b","a","a","b","b"
"4495","b","c","a","b","a"
"4496","b","b","b","a","a"
"4497","b","c","c","a","b"
"4498","b","a","a","b","a"
"4499","b","a","a","b","a"
"4500","a","a","b","c","b"
"4501","b","b","b","c","a"
"4502","c","c","a","c","b"
"4503","b","a","a","b","a"
"4504","a","a","b","a","a"
"4505","b","c","b","b","b"
"4506","a","a","a","a","a"
"4507","a","b","a","a","c"
"4508","c","b","a","c","c"
"4509","c","c","a","c","c"
"4510","b","a","a","b","c"
"4511","a","a","a","b","a"
"4512","b","b","a","b","c"
"4513","b","c","a","a","c"
"4514","b","a","a","b","a"
"4515","c","c","b","a","c"
"4516","a","a","a","a","b"
"4517","a","a","b","c","b"
"4518","b","c","a","b","a"
"4519","c","c","a","a","c"
"4520","c","a","c","c","a"
"4521","b","a","a","b","b"
"4522","c","c","a","b","b"
"4523","b","a","a","b","b"
"4524","b","c","a","b","c"
"4525","c","c","a","c","c"
"4526","a","a","a","a","a"
"4527","a","a","a","a","a"
"4528","a","a","a","a","a"
"4529","a","a","a","b","c"
"4530","b","a","a","b","a"
"4531","a","a","b","c","c"
"4532","a","a","a","a","b"
"4533","c","c","b","a","c"
"4534","a","a","a","a","a"
"4535","b","c","a","b","c"
"4536","a","b","a","b","c"
"4537","a","a","a","a","a"
"4538","a","a","a","a","b"
"4539","a","a","b","c","a"
"4540","b","b","c","a","b"
"4541","c","c","a","c","c"
"4542","c","c","a","c","c"
"4543","a","a","a","a","b"
"4544","b","a","a","b","a"
"4545","b","a","a","b","b"
"4546","b","a","a","b","a"
"4547","a","a","a","a","c"
"4548","b","b","a","b","b"
"4549","a","b","b","c","c"
"4550","c","b","c","c","c"
"4551","c","c","b","b","a"
"4552","b","c","a","b","c"
"4553","a","a","a","a","c"
"4554","c","c","b","b","b"
"4555","b","a","a","b","a"
"4556","a","a","b","c","a"
"4557","b","b","b","a","b"
"4558","a","a","a","a","a"
"4559","c","b","a","c","a"
"4560","c","b","a","c","c"
"4561","a","a","b","c","b"
"4562","b","a","a","c","a"
"4563","c","c","b","c","c"
"4564","c","c","a","c","c"
"4565","c","c","a","c","c"
"4566","a","a","a","a","a"
"4567","a","c","a","a","c"
"4568","b","b","b","a","b"
"4569","c","a","a","c","b"
"4570","c","c","a","c","c"
"4571","c","c","b","b","a"
"4572","b","a","a","b","a"
"4573","c","c","a","c","a"
"4574","a","a","a","a","a"
"4575","c","b","a","c","b"
"4576","a","c","a","c","c"
"4577","a","c","a","a","a"
"4578","b","a","a","b","a"
"4579","c","c","a","c","a"
"4580","a","a","c","a","b"
"4581","c","c","a","b","c"
"4582","a","a","b","c","a"
"4583","b","c","a","c","c"
"4584","a","a","b","c","a"
"4585","a","a","a","a","c"
"4586","b","b","a","b","a"
"4587","a","a","a","a","a"
"4588","c","a","c","c","a"
"4589","a","a","a","a","a"
"4590","b","b","a","b","b"
"4591","b","c","a","b","c"
"4592","a","a","a","b","b"
"4593","c","c","b","a","a"
"4594","a","a","a","a","a"
"4595","c","a","a","c","c"
"4596","a","a","a","a","b"
"4597","a","a","a","a","a"
"4598","b","a","a","b","a"
"4599","b","c","a","b","b"
"4600","c","a","b","c","a"
"4601","c","c","a","a","a"
"4602","b","c","a","b","b"
"4603","c","b","a","c","a"
"4604","b","c","a","b","c"
"4605","a","a","a","a","a"
"4606","c","c","a","c","c"
"4607","c","a","a","c","b"
"4608","b","b","a","b","c"
"4609","b","a","b","a","a"
"4610","a","c","c","b","a"
"4611","c","c","b","b","b"
"4612","c","c","a","c","c"
"4613","b","b","c","c","c"
"4614","a","a","a","a","a"
"4615","b","c","a","b","c"
"4616","b","b","a","b","a"
"4617","c","c","b","b","c"
"4618","c","c","a","c","c"
"4619","b","a","a","c","a"
"4620","c","c","a","c","a"
"4621","b","c","a","a","c"
"4622","c","c","a","c","b"
"4623","a","a","a","a","b"
"4624","a","a","c","c","a"
"4625","a","a","a","a","b"
"4626","a","a","a","a","a"
"4627","c","c","b","b","b"
"4628","a","a","a","b","b"
"4629","a","a","c","b","a"
"4630","c","c","a","c","a"
"4631","c","c","b","a","c"
"4632","c","c","a","c","c"
"4633","a","a","b","c","a"
"4634","c","b","c","c","b"
"4635","b","c","a","b","c"
"4636","a","a","a","a","a"
"4637","c","c","a","c","b"
"4638","c","c","a","c","b"
"4639","c","c","a","c","b"
"4640","a","a","a","b","a"
"4641","a","a","b","c","a"
"4642","a","a","b","c","a"
"4643","b","c","a","b","c"
"4644","c","c","b","a","b"
"4645","b","c","a","b","c"
"4646","b","a","a","b","a"
"4647","b","a","b","a","c"
"4648","b","c","a","b","c"
"4649","b","a","a","a","b"
"4650","a","a","a","a","b"
"4651","c","a","a","c","b"
"4652","c","c","a","a","c"
"4653","b","b","a","b","a"
"4654","a","a","a","a","b"
"4655","a","a","a","a","c"
"4656","a","c","a","a","c"
"4657","a","a","b","c","b"
"4658","b","b","a","b","c"
"4659","b","a","b","a","b"
"4660","a","a","a","a","a"
"4661","c","c","a","c","c"
"4662","b","b","a","b","b"
"4663","c","c","a","b","c"
"4664","c","a","c","c","b"
"4665","b","a","a","a","a"
"4666","b","a","a","b","a"
"4667","c","c","a","c","c"
"4668","b","a","a","b","a"
"4669","a","a","a","a","a"
"4670","c","c","b","b","c"
"4671","b","a","a","b","a"
"4672","c","c","a","c","a"
"4673","c","c","b","c","a"
"4674","b","a","a","c","a"
"4675","c","a","b","c","a"
"4676","c","c","a","c","c"
"4677","c","c","a","c","c"
"4678","a","a","a","b","a"
"4679","b","a","a","b","a"
"4680","a","a","a","a","a"
"4681","a","a","b","c","a"
"4682","a","a","a","a","b"
"4683","c","c","b","a","c"
"4684","b","c","a","b","c"
"4685","a","a","b","c","c"
"4686","c","c","b","b","c"
"4687","a","a","a","a","a"
"4688","b","c","a","b","c"
"4689","b","b","b","a","c"
"4690","b","a","a","b","a"
"4691","c","c","a","c","a"
"4692","c","c","a","c","c"
"4693","b","b","a","b","c"
"4694","c","b","a","c","a"
"4695","b","a","a","b","c"
"4696","a","a","b","c","a"
"4697","c","b","a","c","b"
"4698","a","a","a","a","b"
"4699","a","a","a","a","a"
"4700","b","a","a","b","a"
"4701","b","a","a","b","a"
"4702","c","c","a","c","c"
"4703","c","c","b","a","b"
"4704","b","c","a","b","a"
"4705","a","b","a","b","a"
"4706","b","c","a","b","b"
"4707","a","a","a","a","a"
"4708","b","c","b","a","a"
"4709","b","a","a","b","a"
"4710","b","b","b","a","c"
"4711","c","c","a","c","a"
"4712","b","c","a","b","b"
"4713","a","a","a","c","b"
"4714","b","b","b","a","a"
"4715","a","a","a","a","a"
"4716","b","a","a","c","a"
"4717","a","c","b","c","a"
"4718","a","a","a","a","b"
"4719","c","c","a","c","c"
"4720","b","a","a","c","a"
"4721","c","c","b","c","b"
"4722","a","a","a","b","a"
"4723","b","a","a","b","b"
"4724","b","a","b","a","a"
"4725","c","c","a","c","a"
"4726","b","b","a","b","c"
